x y theta theta_dot
260, 200, 0, 0
264.94, 199.98, 6.17, 0
269.71, 199.36, 6.06, -1.14
274.43, 198.3, 5.95, -1.13
278.92, 196.49, 5.85, -1.14
283.34, 194.39, 5.74, -1.14
287.56, 191.91, 5.62, -1.14
291.46, 189.09, 5.51, -1.14
295.01, 185.74, 5.39, -1.14
298.07, 182.11, 5.26, -1.14
300.51, 178.1, 5.15, -1.14
302.33, 173.75, 5.04, -1.14
303.85, 169.06, 4.94, -1.14
304.93, 164.47, 4.83, -1.14
305.46, 159.64, 4.73, -1.14
305.44, 154.85, 4.63, -1.14
305.01, 150.14, 4.51, -1.14
303.98, 145.26, 4.4, -1.14
302.52, 140.94, 4.29, -1.14
300.73, 136.54, 4.18, -1.13
298.42, 132.31, 4.06, -1.14
295.35, 128.23, 3.94, -1.14
292.0, 124.71, 3.82, -1.14
288.21, 121.71, 3.7, -1.14
284.13, 119.07, 3.59, -1.14
279.78, 116.92, 3.48, -1.14
275.15, 115.26, 3.36, -1.14
270.45, 114.13, 3.25, -1.13
265.8, 113.61, 3.13, -1.14
261.04, 113.83, 3.02, -1.13
256.32, 114.42, 2.9, -1.14
251.68, 115.68, 2.78, -1.14
247.28, 117.23, 2.69, -1.14
242.93, 119.38, 2.57, -1.14
238.91, 121.99, 2.44, -1.14
235.21, 124.94, 2.33, -1.14
232.02, 128.55, 2.2, -1.14
229.48, 132.46, 2.08, -1.14
227.18, 136.56, 1.96, -1.14
225.52, 140.94, 1.83, -1.14
224.44, 145.39, 1.71, -1.14
