pwml   pwmr   d1   d2   mx   my   gyro   timestamp
110.0, 90.0, 271.65, 201.66, 7.54, 26.05, 0.03, 0.0
110.0, 90.0, 265.58, 27.0, -3.23, 24.0, -1.14, 0.1
110.0, 90.0, 266.0, 12.98, -4.99, 26.35, -1.14, 0.2
110.0, 90.0, 268.72, 9.59, -13.74, 17.8, -1.11, 0.3
110.0, 90.0, 276.8, 9.0, -14.07, 24.98, -1.16, 0.4
110.0, 90.0, 288.64, 5.32, -13.63, 27.03, -1.13, 0.5
110.0, 90.0, 308.89, 5.89, -17.28, 23.87, -1.15, 0.6
110.0, 90.0, 271.45, 6.33, -18.62, 21.68, -1.13, 0.7
110.0, 90.0, 237.98, 2.5, -22.17, 16.3, -1.13, 0.8
110.0, 90.0, 212.21, 3.87, -26.72, 15.25, -1.13, 0.9
110.0, 90.0, 196.56, 1.63, -20.12, 14.63, -1.15, 1.0
110.0, 90.0, 180.56, 1.91, -28.06, 9.1, -1.12, 1.1
110.0, 90.0, 171.12, 2.71, -23.73, 11.01, -1.14, 1.2
110.0, 90.0, 162.13, 2.76, -26.15, 4.65, -1.13, 1.3
110.0, 90.0, 161.03, 1.31, -18.69, 6.66, -1.14, 1.4
110.0, 90.0, 155.51, 3.76, -28.26, -1.43, -1.13, 1.5
110.0, 90.0, 154.87, 2.44, -28.72, 1.89, -1.14, 1.6
110.0, 90.0, 152.24, 2.45, -26.15, -4.74, -1.15, 1.7
110.0, 90.0, 154.89, 2.83, -24.89, -8.91, -1.14, 1.8
110.0, 90.0, 158.27, 2.73, -19.24, -14.75, -1.17, 1.9
110.0, 90.0, 165.61, 1.2, -14.72, -12.99, -1.14, 2.0
110.0, 90.0, 176.51, 6.58, -19.63, -22.61, -1.14, 2.1
110.0, 90.0, 198.76, 3.18, -15.03, -19.14, -1.15, 2.2
110.0, 90.0, 228.29, 4.68, -12.8, -17.55, -1.13, 2.3
110.0, 90.0, 273.77, 6.63, -10.34, -24.77, -1.13, 2.4
110.0, 90.0, 297.77, 11.87, -9.47, -24.32, -1.12, 2.5
110.0, 90.0, 279.6, 16.46, -5.87, -21.13, -1.15, 2.6
110.0, 90.0, 272.84, 30.39, -2.18, -21.32, -1.12, 2.7
110.0, 90.0, 264.9, 287.18, 4.72, -22.72, -1.14, 2.8
110.0, 90.0, 266.36, 287.88, 6.62, -22.55, -1.15, 2.9
110.0, 90.0, 264.91, 293.73, 11.51, -21.33, -1.15, 3.0
110.0, 90.0, 267.26, 303.38, 8.33, -25.0, -1.16, 3.1
110.0, 90.0, 275.35, 315.55, 10.46, -21.32, -1.12, 3.2
110.0, 90.0, 291.08, 336.44, 15.49, -22.16, -1.15, 3.3
110.0, 90.0, 311.81, 362.49, 21.78, -22.57, -1.13, 3.4
110.0, 90.0, 343.73, 398.17, 21.0, -14.88, -1.15, 3.5
110.0, 90.0, 335.04, 462.65, 20.42, -14.83, -1.14, 3.6
110.0, 90.0, 308.42, 555.09, 22.93, -15.41, -1.12, 3.7
110.0, 90.0, 284.53, 568.87, 23.91, -11.42, -1.15, 3.8
110.0, 90.0, 269.29, 545.98, 18.84, -4.0, -1.13, 3.9
